,button,event_type,target,time,x,y,step,turkId
0,1,mousedown,risk-return,401937.96,1107,744,1,0
1,1,mousedirchange,"[id=""portfolio-stats""]>svg",402195.79500000004,1128,721,1,0
2,1,mousedirchange,"[id=""portfolio-stats""]>svg",402235.61500000005,1130,715,1,0
3,1,mousedirchange,"[id=""portfolio-stats""]>svg",402259.63,1131,713,1,0
4,1,mouseup,"[id=""portfolio-stats""]>svg",402603.905,1131,711,1,0
5,1,click,"[id=""portfolio-stats""]>svg",402603.905,1131,711,1,0
6,1,mousedown,"[id=""portfolio-stats""]>svg",402949.99,1112,739,1,0
7,1,mouseup,risk-return,403053.65,1107,746,1,0
8,1,click,"[id=""portfolio-stats""]>svg",403053.65,1107,746,1,0
9,1,mousedown,alloc-slider-1,404787.79500000004,524,449,1,0
10,1,mousedirchange,alloc-slider-1,405173.63000000006,528,451,1,0
11,1,mousedirchange,alloc-slider-1,405261.57500000007,530,452,1,0
12,1,mousedirchange,alloc-slider-1,405375.575,532,453,1,0
13,1,mousedirchange,alloc-slider-1,406717.525,532,454,1,0
14,1,mousedirchange,alloc-slider-1,406765.43000000005,537,458,1,0
15,1,mousedirchange,alloc-slider-1,406797.61000000004,540,459,1,0
16,1,mousedirchange,alloc-slider-1,406925.41000000003,545,462,1,0
17,1,mousedirchange,alloc-slider-1,407728.2050000001,556,464,1,0
18,1,mousedirchange,alloc-slider-1,408507.55000000005,571,468,1,0
19,1,mousedirchange,alloc-slider-1,408635.57,575,458,1,0
20,1,mousedirchange,alloc-slider-1,408843.30500000005,579,453,1,0
21,1,mousedirchange,alloc-slider-1,408867.4600000001,581,452,1,0
22,1,mousedirchange,alloc-slider-1,408979.61500000005,583,450,1,0
23,1,mousedirchange,alloc-slider-1,409043.86000000004,586,447,1,0
24,1,mousedirchange,alloc-slider-1,409093.43500000006,589,444,1,0
25,1,mousedirchange,alloc-slider-1,409173.155,593,441,1,0
26,1,mousedirchange,alloc-slider-1,409847.72000000003,595,440,1,0
27,1,mousedirchange,alloc-slider-1,409895.6450000001,590,444,1,0
28,1,mousedirchange,alloc-slider-1,410095.75,588,445,1,0
29,1,mousedirchange,alloc-slider-1,410135.635,586,446,1,0
30,1,mousedirchange,alloc-slider-1,410601.555,583,448,1,0
31,1,mousedirchange,alloc-slider-1,410649.34500000003,581,449,1,0
32,1,mouseup,alloc-slider-1,410860.145,580,450,1,0
33,1,click,alloc-slider-1,410860.145,580,450,1,0
34,1,mousedown,alloc-slider-2,411727.81000000006,531,483,1,0
35,1,mousedirchange,alloc-slider-2,412225.905,549,484,1,0
36,1,mousedirchange,alloc-slider-2,414217.67000000004,580,489,1,0
37,1,mousedirchange,alloc-slider-2,414499.25,576,491,1,0
38,1,mousedirchange,alloc-slider-2,414723.57000000007,571,494,1,0
39,1,mouseup,alloc-slider-2,415006.05500000005,571,494,1,0
40,1,mousedown,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",427033.76,706,768,1,0
41,1,mouseup,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",427107.91500000004,706,768,1,0
42,1,click,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",427107.91500000004,706,768,1,0
43,1,mousedown,alloc-slider-4,428400.025,533,563,1,0
44,1,mousedirchange,alloc-slider-4,430399.41500000004,581,562,1,0
45,1,mousedirchange,alloc-slider-4,430815.42500000005,560,568,1,0
46,1,mousedirchange,alloc-slider-4,431209.46,512,586,1,0
47,1,mousedirchange,alloc-slider-4,431893.62500000006,549,586,1,0
48,1,mouseup,alloc-slider-4,432213.3450000001,552,584,1,0
49,1,mousedown,alloc-slider-5,438697.78500000003,528,605,1,0
50,1,mousedirchange,alloc-slider-5,439089.29500000004,582,614,1,0
51,1,mousedirchange,alloc-slider-5,439187.15,593,618,1,0
52,1,mousedirchange,alloc-slider-5,439957.43000000005,609,626,1,0
53,1,mousedirchange,alloc-slider-5,440061.36000000004,612,627,1,0
54,1,mousedirchange,alloc-slider-5,440127.24000000005,614,628,1,0
55,1,mouseup,alloc-slider-5,441541.705,601,625,1,0
56,1,mousedown,alloc-slider-3,442327.575,532,517,1,0
57,1,mousedirchange,alloc-slider-3,442753.395,553,528,1,0
58,1,mouseup,alloc-slider-3,444341.97500000003,554,528,1,0
59,1,click,alloc-slider-3,444341.97500000003,554,528,1,0
60,1,mousedown,alloc-slider-2,445311.52,573,481,1,0
61,1,mousedirchange,alloc-slider-2,445977.41000000003,558,481,1,0
62,1,mousedirchange,alloc-slider-2,446033.18500000006,566,482,1,0
63,1,mousedirchange,alloc-slider-2,446329.50000000006,588,485,1,0
64,1,mousedirchange,alloc-slider-2,447173.43500000006,592,486,1,0
65,1,mousedirchange,alloc-slider-2,447269.645,595,487,1,0
66,1,mouseup,alloc-slider-2,447389.84500000003,596,487,1,0
67,1,click,alloc-slider-2,447389.84500000003,596,487,1,0
68,1,mousedown,alloc-slider-1,447845.695,576,451,1,0
69,1,mousedirchange,alloc-slider-1,447943.39,582,455,1,0
70,1,mouseup,alloc-slider-1,448529.4,595,459,1,0
71,1,click,alloc-slider-1,448529.4,595,459,1,0
72,1,mousedown,alloc-slider-4,449459.655,548,553,1,0
73,1,mousedirchange,alloc-slider-4,449967.325,546,552,1,0
74,1,mousedirchange,alloc-slider-4,450905.55000000005,549,553,1,0
75,1,mouseup,alloc-slider-4,451699.29500000004,574,566,1,0
76,1,click,alloc-slider-4,451699.29500000004,574,566,1,0
77,1,mousedown,alloc-slider-5,452111.69,603,594,1,0
78,1,mousedirchange,alloc-slider-5,452921.66000000003,582,584,1,0
79,1,mousedirchange,alloc-slider-5,453297.12000000005,609,596,1,0
80,1,mousedirchange,alloc-slider-5,453691.35000000003,611,597,1,0
81,1,mousedirchange,alloc-slider-5,454239.09500000003,590,587,1,0
82,1,mousedirchange,alloc-slider-5,454463.495,574,580,1,0
83,1,mousedirchange,alloc-slider-5,454687.47500000003,569,578,1,0
84,1,mousedirchange,alloc-slider-5,455169.44500000007,565,577,1,0
85,1,mousedirchange,alloc-slider-5,455321.49000000005,563,576,1,0
86,1,mouseup,alloc-slider-5,455329.31500000006,563,575,1,0
87,1,mousedown,alloc-slider-4,455659.62500000006,555,557,1,0
88,1,mousedirchange,alloc-slider-4,456197.11,585,571,1,0
89,1,mouseup,alloc-slider-4,457331.47000000003,590,573,1,0
90,1,mousedown,alloc-slider-3,457739.54000000004,542,512,1,0
91,1,mousedirchange,alloc-slider-3,457973.51,553,521,1,0
92,1,mousedirchange,alloc-slider-3,458109.18000000005,565,528,1,0
93,1,mousedirchange,alloc-slider-3,458157.5150000001,568,529,1,0
94,1,mousedirchange,alloc-slider-3,458231.43500000006,571,531,1,0
95,1,mouseup,alloc-slider-3,458543.895,599,534,1,0
96,1,mousedown,alloc-slider-4,459017.60500000004,587,554,1,0
97,1,mousedirchange,alloc-slider-4,459555.41500000004,580,553,1,0
98,1,mousedirchange,alloc-slider-4,459725.33,592,560,1,0
99,1,mousedirchange,alloc-slider-4,459749.5250000001,595,561,1,0
100,1,mousedirchange,alloc-slider-4,459773.3900000001,597,563,1,0
101,1,mouseup,alloc-slider-4,460119.895,612,567,1,0
102,1,click,alloc-slider-4,460119.895,612,567,1,0
103,1,mousedown,"[id=""portfolio-stats""]>svg",460729.98000000004,1149,748,1,0
104,1,mouseup,"[id=""portfolio-stats""]>svg",460833.585,1149,748,1,0
105,1,click,"[id=""portfolio-stats""]>svg",460833.585,1149,748,1,0
106,1,mousedown,alloc-slider-4,464299.44000000006,590,559,1,0
107,1,mousedirchange,alloc-slider-4,464483.56,614,562,1,0
108,1,mouseup,alloc-slider-4,464699.91000000003,618,562,1,0
109,1,click,alloc-slider-4,464699.91000000003,618,562,1,0
110,1,mousedown,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",466129.54500000004,774,723,1,0
111,1,mouseup,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",466201.23500000004,774,723,1,0
112,1,click,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",466201.23500000004,774,723,1,0
113,1,mousedown,risk-return,468647.64,1187,485,1,0
114,1,mousedirchange,"[id=""portfolio-stats""]>svg",469113.30000000005,1175,525,1,0
115,1,mousedirchange,"[id=""portfolio-stats""]>svg",469145.3950000001,1176,522,1,0
116,1,mousedirchange,"[id=""portfolio-stats""]>svg",469257.44,1187,507,1,0
117,1,mousedirchange,"[id=""portfolio-stats""]>svg",469361.16500000004,1190,496,1,0
118,1,mousedirchange,"[id=""portfolio-stats""]>svg",469393.47000000003,1191,493,1,0
119,1,mouseup,"[id=""portfolio-stats""]>svg",469393.55500000005,1191,493,1,0
120,1,click,"[id=""portfolio-stats""]>svg",469393.55500000005,1191,493,1,0
121,1,mousedown,"[id=""portfolio-stats""]>svg",469625.5150000001,1201,497,1,0
122,1,mouseup,"[id=""portfolio-stats""]>svg",469689.93000000005,1201,497,1,0
123,1,click,"[id=""portfolio-stats""]>svg",469689.93000000005,1201,497,1,0
124,1,mousedown,alloc-slider-2,481223.45,572,478,1,0
125,1,mousedirchange,alloc-slider-2,481481.24,571,476,1,0
126,1,mousedirchange,alloc-slider-2,481545.2,568,474,1,0
127,1,mousedirchange,alloc-slider-2,481705.41500000004,565,473,1,0
128,1,mousedirchange,alloc-slider-2,481777.31500000006,562,471,1,0
129,1,mousedirchange,alloc-slider-2,481905.24500000005,559,470,1,0
130,1,mousedirchange,alloc-slider-2,482171.155,545,469,1,0
131,1,mousedirchange,alloc-slider-2,482685.10000000003,539,470,1,0
132,1,mouseup,alloc-slider-2,482813.00000000006,538,470,1,0
133,1,mousedown,alloc-slider-3,483657.44000000006,548,533,1,0
134,1,mousedirchange,alloc-slider-3,483729.62500000006,549,535,1,0
135,1,mousedirchange,alloc-slider-3,483849.11500000005,559,542,1,0
136,1,mousedirchange,alloc-slider-3,483905.19500000007,561,543,1,0
137,1,mousedirchange,alloc-slider-3,483929.3300000001,563,544,1,0
138,1,mousedirchange,alloc-slider-3,483953.34500000003,566,545,1,0
139,1,mousedirchange,alloc-slider-3,484009.065,572,550,1,0
140,1,mousedirchange,alloc-slider-3,484057.23000000004,576,553,1,0
141,1,mousedirchange,alloc-slider-3,484082.96,578,554,1,0
142,1,mousedirchange,alloc-slider-3,484121.59,582,557,1,0
143,1,mousedirchange,alloc-slider-3,484178.955,591,563,1,0
144,1,mousedirchange,alloc-slider-3,484203.31000000006,594,566,1,0
145,1,mousedirchange,alloc-slider-3,484347.76000000007,612,577,1,0
146,1,mousedirchange,alloc-slider-3,484443.54000000004,619,581,1,0
147,1,mousedirchange,alloc-slider-3,485279.16500000004,568,559,1,0
148,1,mousedirchange,alloc-slider-3,485327.54000000004,566,557,1,0
149,1,mouseup,alloc-slider-3,485753.56000000006,562,554,1,0
150,1,mousedown,alloc-slider-2,486211.43000000005,542,487,1,0
