,n-grams,Frequency,ID,Relative Frequency
0,slider-risk-0,620,ID1,34.44444444444444
1,slider-risk-1,497,ID1,27.61111111111111
2,slider-risk-2,494,ID1,27.444444444444443
3,slider-risk-4,462,ID1,25.666666666666668
4,slider-return-2,261,ID1,14.5
5,slider-risk-3,161,ID1,8.944444444444445
6,slider-return-4,132,ID1,7.333333333333333
7,slider-return-1,127,ID1,7.055555555555555
8,slider-return-0,119,ID1,6.611111111111111
9,slider-return-3,105,ID1,5.833333333333333
10,saved-port-0,57,ID1,3.1666666666666665
11,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID1,2.5
12,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",40,ID1,2.2222222222222223
13,risk-return,37,ID1,2.0555555555555554
14,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(3)",19,ID1,1.0555555555555556
15,"[id=""portfolio-stats""]>svg",15,ID1,0.8333333333333334
16,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(4)>div:nth-child(2)",9,ID1,0.5
17,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",9,ID1,0.5
18,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(3)",8,ID1,0.4444444444444444
19,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(3)>div:nth-child(2)",6,ID1,0.3333333333333333
20,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div",3,ID1,0.16666666666666666
21,saved-port-6,3,ID1,0.16666666666666666
22,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(2)",2,ID1,0.1111111111111111
23,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(6)>div:nth-child(1)>label",1,ID1,0.05555555555555555
24,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(2)",1,ID1,0.05555555555555555
25,slider-risk-2,844,ID2,46.888888888888886
26,slider-risk-1,812,ID2,45.111111111111114
27,slider-risk-0,575,ID2,31.944444444444443
28,slider-risk-3,494,ID2,27.444444444444443
29,slider-risk-4,474,ID2,26.333333333333332
30,slider-return-3,141,ID2,7.833333333333333
31,slider-return-4,128,ID2,7.111111111111111
32,slider-return-2,116,ID2,6.444444444444445
33,html,114,ID2,6.333333333333333
34,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(10)>div>button",85,ID2,4.722222222222222
35,slider-return-0,82,ID2,4.555555555555555
36,slider-return-1,70,ID2,3.888888888888889
37,"[id=""portfolio-selection""]>div:nth-child(3)>div>button",45,ID2,2.5
38,risk-return,37,ID2,2.0555555555555554
39,saved-port-1,27,ID2,1.5
40,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)",20,ID2,1.1111111111111112
41,survey-container,15,ID2,0.8333333333333334
42,"[id=""portfolio-selection""]>div:nth-child(1)>div>div:nth-child(1)>div:nth-child(5)>div:nth-child(3)",12,ID2,0.6666666666666666
43,saved-port-0,9,ID2,0.5
